epoch,step,test_acc,test_loss,train_acc,train_loss
1,49,,,0.28125,1.135589599609375
3,99,,,0.5625,0.95703125
5,149,,,0.4375,1.0660400390625
6,199,,,0.34375,1.1575775146484375
8,249,,,0.25,1.1788291931152344
10,299,,,0.34375,1.0613861083984375
12,349,,,0.625,0.82562255859375
13,399,,,0.4375,1.0417633056640625
15,449,,,0.6875,0.8420600891113281
17,499,,,0.5625,0.9193487167358398
18,549,,,0.65625,0.7693138122558594
20,599,,,0.59375,0.9095697402954102
22,649,,,0.625,0.8941402435302734
24,699,,,0.6875,0.7571852207183838
25,749,,,0.53125,1.0197067260742188
27,799,,,0.4375,0.8884179592132568
29,849,,,0.53125,0.9296566843986511
31,899,,,0.625,0.7940945625305176
32,949,,,0.625,0.8610191345214844
34,999,,,0.5625,0.8037071228027344
36,1049,,,0.4375,1.0858306884765625
37,1099,,,0.34375,1.174372673034668
39,1149,,,0.625,0.77923583984375
41,1199,,,0.625,0.7517924308776855
43,1249,,,0.625,0.8429317474365234
44,1299,,,0.5625,0.841339111328125
46,1349,,,0.59375,0.7816290855407715
48,1399,,,0.71875,0.7138203382492065
49,1449,,,0.8888888955116272,0.5253279209136963
50,1450,0.539130449295044,0.9916861653327942,,
