epoch,step,test_acc,test_loss,train_acc,train_loss
1,49,,,0.84375,0.6262359619140625
3,99,,,0.78125,0.5193240642547607
5,149,,,0.6875,0.92475426197052
6,199,,,0.75,0.6497010588645935
8,249,,,0.9375,0.4144071638584137
10,299,,,0.8125,0.47342950105667114
12,349,,,0.84375,0.4079240560531616
13,399,,,0.90625,0.32285717129707336
15,449,,,0.875,0.4226701855659485
17,499,,,0.875,0.48013317584991455
18,549,,,0.9375,0.19519668817520142
20,599,,,0.8125,0.39667314291000366
22,649,,,0.75,0.6617410182952881
24,699,,,0.875,0.30163586139678955
25,749,,,1.0,0.07903283834457397
27,799,,,0.8125,0.32090407609939575
29,849,,,0.9375,0.18310917913913727
31,899,,,0.96875,0.08418630808591843
32,949,,,0.90625,0.26243120431900024
34,999,,,0.96875,0.17106755077838898
36,1049,,,0.9375,0.24095413088798523
37,1099,,,0.875,0.4092192053794861
39,1149,,,0.9375,0.12728944420814514
41,1199,,,0.875,0.23437589406967163
43,1249,,,0.875,0.31621336936950684
44,1299,,,0.90625,0.33016538619995117
46,1349,,,0.96875,0.1872953474521637
48,1399,,,1.0,0.0376385822892189
49,1449,,,0.9444444179534912,0.10629917681217194
50,1450,0.813043475151062,0.5965625047683716,,
