epoch,step,test_acc,test_loss,train_acc,train_loss
1,49,,,0.9375,0.36518460512161255
3,99,,,0.875,0.5902441740036011
5,149,,,0.96875,0.1292063295841217
6,199,,,0.90625,0.3344039022922516
8,249,,,1.0,0.09209567308425903
10,299,,,1.0,0.08434569835662842
12,349,,,1.0,0.027516059577465057
13,399,,,0.875,0.30445998907089233
15,449,,,1.0,0.007944393903017044
17,499,,,1.0,0.033292729407548904
18,549,,,0.9375,0.2649558186531067
20,599,,,0.96875,0.04369905963540077
22,649,,,0.9375,0.08885768055915833
24,699,,,0.96875,0.10810863971710205
25,749,,,1.0,0.01525530219078064
27,799,,,0.96875,0.04881778359413147
29,849,,,0.96875,0.024847354739904404
31,899,,,1.0,0.02571023255586624
32,949,,,1.0,0.003630656749010086
34,999,,,1.0,0.021861311048269272
36,1049,,,1.0,0.02027411386370659
37,1099,,,0.90625,0.30511268973350525
39,1149,,,1.0,0.021476276218891144
41,1199,,,0.9375,0.09666493535041809
43,1249,,,1.0,0.016187623143196106
44,1299,,,1.0,0.02424265444278717
46,1349,,,1.0,0.006548788398504257
48,1399,,,1.0,0.004690781235694885
49,1449,,,1.0,0.003881858428940177
50,1450,0.782608687877655,1.116104006767273,,
