epoch,step,test_acc,test_loss,train_acc,train_loss
1,49,,,0.84375,0.35239410400390625
3,99,,,0.84375,0.6075600385665894
5,149,,,0.8125,0.48548805713653564
6,199,,,0.90625,0.32054591178894043
8,249,,,0.9375,0.28151118755340576
10,299,,,0.875,0.28992199897766113
12,349,,,0.78125,0.4205004870891571
13,399,,,0.96875,0.1401241570711136
15,449,,,0.84375,0.29918545484542847
17,499,,,0.90625,0.23700055480003357
18,549,,,0.90625,0.45100316405296326
20,599,,,0.875,0.2095762938261032
22,649,,,0.96875,0.12069006264209747
24,699,,,0.90625,0.2147495597600937
25,749,,,0.9375,0.20910300314426422
27,799,,,1.0,0.059461455792188644
29,849,,,1.0,0.059663835912942886
31,899,,,0.96875,0.08628066629171371
32,949,,,0.90625,0.20966577529907227
34,999,,,0.9375,0.09979745745658875
36,1049,,,0.875,0.21043480932712555
37,1099,,,1.0,0.08303031325340271
39,1149,,,0.90625,0.33773887157440186
41,1199,,,0.90625,0.1318531334400177
43,1249,,,0.96875,0.08966934680938721
44,1299,,,0.9375,0.10260386019945145
46,1349,,,0.9375,0.19287525117397308
48,1399,,,0.9375,0.19368597865104675
49,1449,,,0.9444444179534912,0.19381503760814667
50,1450,0.791304349899292,2.889230966567993,,
