epoch,step,test_acc,test_loss,train_acc,train_loss
1,49,,,0.78125,0.7345552444458008
3,99,,,0.6875,0.6791591644287109
5,149,,,0.75,0.7251262664794922
6,199,,,0.75,0.5753459930419922
8,249,,,0.84375,0.5031795501708984
10,299,,,0.78125,0.5439770221710205
12,349,,,0.84375,0.3608042001724243
13,399,,,0.9375,0.32295799255371094
15,449,,,0.84375,0.44433414936065674
17,499,,,0.9375,0.17953835427761078
18,549,,,0.90625,0.2686311602592468
20,599,,,1.0,0.11264127492904663
22,649,,,0.875,0.3503969609737396
24,699,,,0.875,0.3809540867805481
25,749,,,0.84375,0.34730345010757446
27,799,,,0.96875,0.12996074557304382
29,849,,,0.90625,0.1648593693971634
31,899,,,0.96875,0.24577602744102478
32,949,,,1.0,0.07740075141191483
34,999,,,0.90625,0.3542589843273163
36,1049,,,0.875,0.3184455931186676
37,1099,,,0.8125,0.497913122177124
39,1149,,,0.90625,0.18866197764873505
41,1199,,,0.9375,0.17199838161468506
43,1249,,,0.875,0.5135321021080017
44,1299,,,0.90625,0.23397515714168549
46,1349,,,0.90625,0.23877830803394318
48,1399,,,0.9375,0.24826495349407196
49,1449,,,1.0,0.1019783616065979
50,1450,0.8260869383811951,0.5028198957443237,,
