epoch,step,train_acc,train_loss
1,49,0.84375,0.5479631423950195
3,99,0.8125,0.4616008996963501
5,149,0.96875,0.23407484591007233
6,199,0.96875,0.25738227367401123
8,249,0.6875,0.9073976278305054
10,299,0.8125,0.48486006259918213
12,349,0.78125,0.489485502243042
13,399,0.9375,0.34090426564216614
15,449,0.96875,0.16100215911865234
17,499,0.96875,0.06204846873879433
18,549,0.9375,0.22293522953987122
20,599,0.96875,0.10121549665927887
22,649,0.875,0.3203238546848297
24,699,0.90625,0.2586905360221863
25,749,0.9375,0.2556886672973633
27,799,0.96875,0.1611206978559494
29,849,0.96875,0.0661265105009079
31,899,0.9375,0.09762020409107208
32,949,1.0,0.012967083603143692
34,999,0.96875,0.08526379615068436
36,1049,0.96875,0.15060274302959442
37,1099,1.0,0.015380490571260452
