epoch,step,test_acc,test_loss,train_acc,train_loss
1,49,,,0.75,0.68017578125
3,99,,,0.5,0.8391075134277344
5,149,,,0.625,0.79864501953125
6,199,,,0.625,0.7841033935546875
8,249,,,0.59375,0.8026905059814453
10,299,,,0.5625,0.7756071090698242
12,349,,,0.65625,0.647240161895752
13,399,,,0.71875,0.813281774520874
15,449,,,0.6875,0.6108418703079224
17,499,,,0.90625,0.3164055049419403
18,549,,,0.84375,0.45817697048187256
20,599,,,0.84375,0.40271514654159546
22,649,,,0.84375,0.8634451627731323
24,699,,,0.8125,0.5118501782417297
25,749,,,1.0,0.14546439051628113
27,799,,,0.75,0.45273852348327637
29,849,,,0.90625,0.31098607182502747
31,899,,,0.9375,0.22415652871131897
32,949,,,0.90625,0.24366846680641174
34,999,,,0.96875,0.11095741391181946
36,1049,,,0.96875,0.08570567518472672
37,1099,,,0.9375,0.13557404279708862
39,1149,,,0.78125,0.505792498588562
41,1199,,,0.96875,0.0888562723994255
43,1249,,,0.96875,0.12361399829387665
44,1299,,,0.9375,0.1363140344619751
46,1349,,,0.9375,0.22560279071331024
48,1399,,,0.9375,0.2534356713294983
49,1449,,,1.0,0.013994958251714706
50,1450,0.8173912763595581,1.4042065143585205,,
