epoch,step,test_acc,test_loss,train_acc,train_loss
1,49,,,0.53125,0.8199785351753235
3,99,,,0.78125,0.6559528112411499
5,149,,,0.78125,0.48394575715065
6,199,,,0.8125,0.5732905864715576
8,249,,,0.71875,0.5870026350021362
10,299,,,0.75,0.7553589344024658
12,349,,,0.84375,0.5118021965026855
13,399,,,0.625,0.8336433172225952
15,449,,,0.875,0.5031625032424927
17,499,,,0.5625,0.7375620603561401
18,549,,,0.59375,0.9566535949707031
20,599,,,0.75,0.5400832295417786
22,649,,,0.78125,0.7450141906738281
24,699,,,0.875,0.47191593050956726
25,749,,,0.84375,0.4070858061313629
27,799,,,0.8125,0.3955002725124359
29,849,,,0.84375,0.41740095615386963
31,899,,,0.84375,0.394340842962265
32,949,,,0.8125,0.470544695854187
34,999,,,0.75,0.4492231011390686
36,1049,,,0.875,0.4342744052410126
37,1099,,,0.8125,0.4401065707206726
39,1149,,,0.75,0.587634265422821
41,1199,,,0.875,0.4765690267086029
43,1249,,,0.6875,0.6925597190856934
44,1299,,,0.71875,0.6493343710899353
46,1349,,,0.84375,0.4337635934352875
48,1399,,,0.8125,0.5846777558326721
49,1449,,,0.8888888955116272,0.35953962802886963
50,1450,0.6739130616188049,1.2163630723953247,,
