epoch,step,test_acc,test_loss,train_acc,train_loss
1,49,,,0.75,0.8139106035232544
3,99,,,0.8125,0.5974835157394409
5,149,,,0.78125,0.5515338182449341
6,199,,,0.78125,0.4758616089820862
8,249,,,0.78125,0.3821713924407959
10,299,,,0.8125,0.5411377549171448
12,349,,,0.8125,0.4346090257167816
13,399,,,0.84375,0.43453678488731384
15,449,,,0.9375,0.29224303364753723
17,499,,,0.84375,0.32213306427001953
18,549,,,0.96875,0.14125415682792664
20,599,,,0.875,0.3264499008655548
22,649,,,0.84375,0.4670476019382477
24,699,,,0.875,0.5044513940811157
25,749,,,0.875,0.290874183177948
27,799,,,0.90625,0.44210606813430786
29,849,,,0.9375,0.13678359985351562
31,899,,,0.9375,0.31239739060401917
32,949,,,1.0,0.07660794258117676
34,999,,,0.90625,0.17778167128562927
36,1049,,,0.9375,0.3141094446182251
37,1099,,,0.96875,0.08567194640636444
39,1149,,,0.90625,0.23600240051746368
41,1199,,,1.0,0.05550277233123779
43,1249,,,1.0,0.03370335325598717
44,1299,,,0.875,0.48696571588516235
46,1349,,,0.9375,0.10956975817680359
48,1399,,,1.0,0.04624523967504501
49,1449,,,1.0,0.10366237908601761
50,1450,0.8826087117195129,0.3552791178226471,,
