epoch,step,test_acc,test_loss,train_acc,train_loss
1,49,,,0.90625,0.2519601285457611
3,99,,,0.75,0.5208150148391724
5,149,,,0.90625,0.37736666202545166
6,199,,,0.84375,0.35790038108825684
8,249,,,0.875,0.2653625011444092
10,299,,,0.96875,0.13122548162937164
12,349,,,0.84375,0.2143242210149765
13,399,,,0.84375,0.4216664433479309
15,449,,,0.9375,0.18663731217384338
17,499,,,0.90625,0.191860169172287
18,549,,,0.875,0.5565013885498047
20,599,,,0.90625,0.13972243666648865
22,649,,,0.9375,0.16432881355285645
24,699,,,0.9375,0.2218208909034729
25,749,,,0.90625,0.16452953219413757
27,799,,,0.9375,0.14003756642341614
29,849,,,0.9375,0.14942693710327148
31,899,,,0.96875,0.12936459481716156
32,949,,,0.96875,0.07442477345466614
34,999,,,0.96875,0.08736249804496765
36,1049,,,0.96875,0.12263849377632141
37,1099,,,0.96875,0.07377485930919647
39,1149,,,1.0,0.016957566142082214
41,1199,,,1.0,0.11760583519935608
43,1249,,,0.90625,0.1474236249923706
44,1299,,,0.9375,0.22674840688705444
46,1349,,,0.9375,0.14094799757003784
48,1399,,,0.96875,0.1325884461402893
49,1449,,,1.0,0.04440823569893837
50,1450,0.7347826361656189,2.7769112586975098,,
